the,68351.63,1
of,33008.66,2
and,28651.11,3
to,27599.22,4
a,23160.48,5
in,20670.81,6
is,10571.15,7
that,10549.02,8
was,9939.26,9
it,9882.90,10
for,9309.44,11
on,7636.66,12
with,7171.07,13
he,7167.84,14
be,7153.17,15
I,7036.88,16
by,5866.89,17
as,5793.35,18
at,5154.12,19
you,5043.27,20
are,5000.14,21
his,4963.47,22
had,4922.27,23
not,4899.77,24
this,4789.41,25
have,4685.82,26
from,4625.21,27
but,4616.26,28
which,4131.11,29
she,3991.77,30
they,3982.95,31
or,3975.58,32
an,3836.07,33
her,3692.13,34
were,3482.45,35
there,3025.87,36
we,2953.92,37
their,2929.78,38
been,2924.28,39
has,2873.74,40
will,2775.94,41
one,2764.69,42
all,2630.80,43
would,2617.11,44
can,2355.35,45
if,2247.43,46
who,2226.26,47
more,2195.16,48
when,2193.48,49
said,2149.41,50
do,2139.12,51
what,2053.98,52
about,1907.52,53
its,1888.51,54
so,1844.57,55
up,1816.81,56
into,1803.28,57
no,1789.08,58
him,1787.13,59
some,1783.31,60
could,1753.24,61
them,1668.31,62
only,1646.85,63
time,1609.99,64
out,1547.86,65
my,1526.21,66
two,1514.46,67
other,1513.23,68
then,1475.27,69
may,1455.47,70
over,1443.56,71
also,1409.47,72
new,1404.41,73
like,1366.44,74
these,1328.58,75
me,1316.41,76
after,1302.93,77
first,1287.14,78
your,1285.88,79
did,1283.43,80
now,1281.59,81
any,1279.86,82
people,1215.83,83
than,1203.22,84
should,1172.27,85
very,1159.18,86
most,1112.14,87
see,1097.46,88
where,1096.15,89
just,1060.74,90
made,1050.69,91
between,1031.01,92
back,1022.58,93
way,984.89,94
many,981.20,95
years,981.16,96
being,973.72,97
our,970.28,98
how,969.81,99
work,956.09,100
